Nome do Paiciente,Nome da Mãe,Data de Nascimento,CPF,CNS,CEP,Endereço,Número,Complemento,Bairro,Cidade,Estado
Amélia Lourenço Corona,Dayane de Souza Vieira,25/06/1978,825.511.746-60,790139938733696,78139-689,Rua Maiara,70143,Bc. 83 Ap. 88,Ávila Leal,Porto Catarina d'Oeste,RR
Mônica Galhardo Gil,Hortência Zaragoça Zambrano,24/04/2001,404.486.313-00,991309830805725,68691-671,Avenida Serra,6409,Apto 92,Jimenes de Aguiar,Porto Fabrício d'Oeste,AP
Pérola de Souza de Oliveira,Ellen Fidalgo Carmona,05/06/2002,702.717.646-78,874384703155283,89511-054,Av. Emanuel Vale,359,8º Andar,Bittencourt Bonilha,Alessandro do Norte,PR
Rayane Carmona Vila,Irene Souza Serna,03/02/1996,823.590.126-90,812772597213313,95752-800,Av. Malu,994,79º Andar,Perez Rangel,Maitê do Sul,SP
Sarah Salgado Galindo,Marta Guerra Chaves,26/02/1997,655.001.861-75,750728629532232,44288-002,Avenida Cléber Salazar,8,7º Andar,Paes Beltrão,São Jerônimo d'Oeste,BA
Yohanna Godói Paz,Alana Molina Corona,22/07/1990,202.699.031-00,849076179604898,78010-582,Travessa Delvalle,53,2º Andar,Velasques Mascarenhas,São Denise,TO
Marcos Ávila Casanova,Violeta Campos Vila,07/06/1976,096.962.322-41,738258912819100,75143-936,R. Mauro,3103,247º Andar,Reis Rosa,Evandro do Sul,PR
Samara Rezende Domingues,Bárbara Cervantes Teles,20/10/2005,764.835.887-55,791726599142895,34814-374,Avenida de Souza,80,Apto 931,Domingues Rocha,Santa Heloise,AM
Stefany Martines Leon,Diana Vila Carrara,09/08/2003,199.269.171-19,988749110579324,76910-713,R. Batista,4,Apto 1932,Amaral Rico,Porto Nayara do Norte,PA
Benício Torres Salas,Antonieta Rocha Faria,10/10/1983,010.819.774-34,904634435531199,30448-660,Travessa Eunice,983,Apto 21,Medina Santana,Santa André,PI
Agatha Sanches Pereira,Aparecida Amaral Pedrosa,12/04/1993,495.924.594-87,881906963592372,59708-006,Avenida Otávio,1925,Bloco B,Gil Rivera,Aguiar do Leste,SE
Kléber Vega Maia,Stephanie Batista Pedrosa,03/12/1981,028.823.095-70,856518242245071,59074-461,R. Vieira,2,179º Andar,Branco Lourenço,Vila Bianca do Leste,PR
Andressa Delatorre Salas,Ingrid Bittencourt Furtado,21/11/2000,244.454.058-17,936994013715325,96366-677,R. Simone D'ávila,48,Fundos,Lourenço Franco,Santa Giovane,AC
Raissa Galvão Ferminiano,Cynthia Maia Colaço,06/10/2015,519.670.255-50,867665785217526,92816-220,Avenida Ortega,955,Anexo,da Rosa Garcia,Valdez do Norte,TO
Isaac Valente Dias,Jaqueline Fidalgo Padrão,07/09/1974,610.579.778-88,701062053992452,10167-768,Largo David,75492,Bc. 86 Ap. 00,Flores Torres,Maraisa d'Oeste,AL
Noa D'ávila Abreu,Aurora Maia Aranda,17/12/1980,762.033.868-39,998512727417334,97303-807,Largo Pablo Assunção,8,Bloco B,Barros Aragão,Santana d'Oeste,TO
Kevin Paes Oliveira,Luísa Souza Uchoa,13/05/2008,405.262.921-30,741889489188535,37235-202,Avenida Amélia,840,Bloco B,Rico Vila,Correia d'Oeste,SE
Anderson Gonçalves Furtado,Samara Marinho Mendonça,08/08/1973,667.494.621-46,858277386420049,23567-126,Travessa Zambrano,53935,F,Padilha Pontes,Salgado do Sul,AM
Yuri Jimenes Salgado,Helena Fidalgo Urias,19/03/2019,605.149.046-90,964362195789043,35594-520,Av. Giovana,52630,Bloco C,Soares Ferminiano,Porto Melinda do Norte,AP
Bruno Escobar Toledo,Mel Salazar Rios,14/04/2003,106.928.867-53,773705052446792,86991-256,Av. Maraisa,19,Bloco C,Beltrão Fernandes,Porto Noel,PE
Andréa Rivera Lourenço,Jaqueline Barreto Branco,12/10/1987,123.371.921-13,992354389735329,14559-436,Av. Quintana,540,Apto 9309,Salgado da Cruz,Porto Matias,RR
Gilberto Rodrigues Barros,Janaina Vale Tamoio,28/03/2018,151.033.313-49,835554215123843,65355-385,Av. Rezende,43,Bc. 4 Ap. 97,Assunção Santana,Emerson do Norte,DF
Daniella das Neves Lozano,Luana Marinho Duarte,18/10/1989,805.040.224-07,720083388868750,78280-136,R. Gusmão,1,Apto 1684,Barreto Cordeiro,Benício do Norte,MS
Mauro Maia Valdez,Miranda Sepúlveda Estrada,05/02/1971,551.817.392-02,811351390662008,75635-441,R. Estela,900,Bc. 68 Ap. 14,Toledo Guerra,Santa Edilson,RR
Vicente Velasques Brito,Isadora Marés Bittencourt,28/11/1984,043.630.091-52,787253738138852,77229-127,R. Rangel,234,Fundos,Delatorre Rezende,Santa Igor do Norte,SE
Luna Brito Benites,Eva Meireles Esteves,10/05/2003,768.528.692-02,882401495488553,36179-008,Avenida Oliveira,7366,Bloco B,Lutero Soto,Amanda do Leste,MG
Jerônimo Valente Valente,Cíntia Corona Cruz,11/12/1993,755.480.314-06,940725170364199,38839-693,Travessa Serna,353,Apto 7261,Ramos Vila,São Fernanda,PE
Adriano Lovato Carrara,Joyce Arruda Marés,04/12/1996,620.788.576-70,738675917006640,21177-752,Largo Nayara,594,04º Andar,Marin das Dores,Espinoza do Sul,AP
Vitor Teles Escobar,Isabel Dominato Sanches,24/05/1983,639.445.293-91,771301812529253,30929-304,R. Luciano,16258,Fundos,Roque Gonçalves,São Luan d'Oeste,PR
Cecília Delgado Vieira,Jéssica Valdez Fontes,18/03/1998,257.376.497-41,708148955910117,04935-947,Travessa da Silva,2158,Bloco A,Urias Furtado,Vila Miranda,PA
Benício Souza Colaço,Daiane Assunção Marin,04/04/2011,141.759.828-09,751271969433121,79791-904,Rua Serrano,22,Anexo,Martines Valente,Isadora do Leste,MS
Aurora Bonilha Rico,Débora Delvalle Correia,21/06/2005,323.223.567-00,835225148811740,41590-313,Largo Samuel Galvão,21,Bloco A,Ferreira Alves,Irene d'Oeste,MT
Martinho Cortês Vale,Letícia Valência Valdez,14/08/1987,237.902.172-47,816288244378366,21682-049,Largo Benício Delatorre,87,Bloco C,Gusmão Leon,Porto Elaine,BA
Raissa Saito D'ávila,Manoela Vieira Lira,22/08/2000,554.167.926-55,842094679533915,23025-016,Rua Sérgio Colaço,15717,Anexo,Ferraz Rivera,Porto Katherine do Leste,DF
Filipe Fontes Salgado,Stefany Prado Aragão,30/08/2012,227.804.368-40,764184402958652,46658-028,Largo Erik,8,Bc. 4 Ap. 48,Duarte Queirós,Raphael do Leste,AL
Jaqueline Marés Sales,Daiane Galhardo Colaço,28/09/1984,465.147.288-55,984008775333676,06068-646,Av. Vanessa,1,Apto 2933,Barreto Soto,Vila Willian do Norte,RS
Tiago Vila Cortês,Mila Ortiz Soares,20/12/1987,110.179.837-80,751703257094941,64113-880,Rua Matias,491,Bloco C,Rosa Lutero,Santa João,TO
Samuel Rivera Ferraz,Mariana Barreto Vila,08/05/1982,156.706.637-21,918391540795559,47121-969,R. Danilo Teles,29026,Bloco A,Cruz Saito,Delatorre do Leste,PR
Arthur Ávila Ramos,Alma de Aguiar Torres,12/02/1999,423.911.295-80,886460163551892,81961-618,Av. Matias,483,Apto 1,Maia de Souza,Enzo do Sul,PE
Gustavo Maia Batista,Katherine Verdara Serra,21/11/1984,414.875.696-88,826256551571517,65238-060,Travessa Jimenes,5315,Bc. 1 Ap. 98,Delgado Queirós,Lira do Sul,AC
Antonella Ferminiano Bonilha,Regiane Pedrosa de Arruda,21/08/2004,141.830.874-90,857423322209262,48988-877,Avenida Mendes,560,Bc. 39 Ap. 09,Mendes Alcantara,Tábata d'Oeste,DF
Bernardo Solano Marés,Taís Toledo Montenegro,18/09/1987,698.535.508-06,949087619075607,26254-424,R. Bezerra,621,Bloco C,Padrão Saito,Nicole do Sul,BA
Alessandra das Neves Pena,Sara Abreu Romero,11/09/2019,201.808.909-99,830220852306971,04176-410,Largo Luciano Bezerra,8987,Apto 8,de Freitas D'ávila,São Martinho do Leste,PI
Cristiano Pacheco Delgado,Viviane Arruda Batista,04/02/1974,257.080.255-73,907245878603724,87734-191,Av. Bianca da Cruz,5531,25º Andar,Ortiz Padilha,Santa Bia d'Oeste,MA
Graziela Ortega Mendonça,Sophie Escobar Montenegro,08/10/2013,443.042.478-08,967261611176812,49325-703,Av. Fabrício Ortega,7,3º Andar,Zambrano Branco,Ferreira do Sul,PE
Analu Padrão Martines,Mari Montenegro Romero,07/09/1977,899.113.755-52,851884012311253,98274-863,Travessa Sara,3398,Bc. 64 Ap. 60,Ramos da Rosa,Santos do Sul,DF
Emanuel Valdez Vasques,Eliane Pena Santana,07/08/2013,325.120.068-24,967028375023777,88203-904,R. Ítalo de Aguiar,841,Apto 1535,Ávila Fernandes,Mel d'Oeste,PR
Santiago Zambrano Caldeira,Melissa Barreto Sandoval,13/08/1996,130.313.615-55,724843690018050,40856-113,R. Fidalgo,16984,Bloco A,Matos Barros,João do Leste,RJ
Giovane Queirós Carvalho,Kelly Leon Correia,14/06/1989,286.252.387-93,968986793009727,85904-040,Rua Clarice,5,Bloco A,Madeira Prado,São Hernani,PR
Tiago Queirós Tamoio,Andréia Saito Oliveira,18/08/1994,643.155.441-83,804539107766644,04185-810,Largo Alícia Paes,66,Bloco A,Ávila Solano,Olívia do Norte,CE
Fernanda Mendes Salgado,Emilly Campos Ortiz,01/04/1993,190.864.163-06,966901561096298,41069-182,Avenida Eric,46,Bc. 51 Ap. 13,Salas Rico,Verdara do Leste,RS
Natália Romero Ferraz,Juliana Fernandes Quintana,19/05/2014,501.045.107-73,935626930000617,80986-991,Av. Abreu,93761,6º Andar,Vega Aguiar,Vila Emiliano d'Oeste,SE
Hernani Flores Velasques,Giovanna Tamoio Cortês,10/04/1985,333.025.464-59,790266207046127,60985-490,Av. Davi,2,Anexo,Ferreira Paes,Santa Benedito,TO
Eliane Molina Assunção,Gisela Lutero Quintana,22/09/1973,648.889.073-58,749915063179680,47754-436,Travessa Sandoval,7,Fundos,Grego da Rosa,Vila Benedito do Sul,PE
Vitor Reis Vasques,Mirella Ferreira Quintana,01/05/1971,151.131.758-20,706799732935828,09187-980,Travessa Deverso,8334,Bc. 53 Ap. 51,Molina Neves,Ferreira do Norte,GO
Estêvão Carvalho Fernandes,Giovanna das Neves Montenegro,29/07/2019,805.241.702-31,762851373896059,60449-427,Travessa Luan Reis,123,Bloco A,Bonilha Souza,Santa Clarice,BA
Suellen Rangel Pena,Silvana Meireles Vale,17/01/1994,730.718.293-96,707815829555136,51255-241,Rua Moisés Ferreira,85,Bloco A,Paz de Oliveira,Santa Eloah do Sul,PB
Filipe Delgado Mendes,Mila Maia Rosa,01/06/2003,087.727.004-08,775464565514209,16555-695,R. Gean,7391,752º Andar,Salgado Galindo,Arthur do Sul,DF
Diana Leal Azevedo,Stella Salgado Alcantara,13/06/1995,680.815.452-04,769236140529174,17309-644,R. Elisa Souza,20317,Bloco A,Ávila Matos,Ramires d'Oeste,MG
Benjamin Madeira Valdez,Simone Quintana Vasques,01/04/1990,239.642.458-01,891390036086934,33876-923,Largo Uchoa,242,Fundos,Maldonado Saraiva,Raphael do Norte,PE
Adriana Valentin Pena,Melina Galhardo Soares,21/10/2000,393.407.685-82,905184891237535,95849-299,Av. Alma Montenegro,57,Anexo,Mascarenhas Paz,Vila Francisco,RO
Rafael Salas Branco,Heloise das Neves Beltrão,26/10/1982,780.351.332-84,730009805031663,57050-904,Rua Romero,8528,789º Andar,Cordeiro Esteves,Santa Andréa,AC
Martinho Batista Aguiar,Franciele Burgos Meireles,19/02/1970,797.878.507-62,845591080855927,72091-426,Rua Burgos,26,F,Ferminiano Gomes,Porto Ester do Leste,SC
Joyce Ávila de Arruda,Eduarda Brito Urias,04/09/1979,379.521.021-68,718004539562468,28619-838,R. Maurício Escobar,3,Bloco A,Esteves Lourenço,Natan do Leste,CE
Fabiano Lira das Neves,Bia Matos Serra,15/02/2007,881.167.225-22,931402788663912,05745-478,Av. Zamana,7,Anexo,Ortiz Corona,Porto Isadora,SC
Simone Salas Feliciano,Fabiana Casanova Sanches,24/11/1985,309.481.807-22,775221469877915,14423-356,Av. Caroline Lozano,89223,Bloco A,Vasques Molina,Clarice do Leste,SP
Giovane Teles Santiago,Suzana Pedrosa Fontes,25/09/2004,718.235.401-20,766591617584587,14389-349,Travessa Flávio Espinoza,746,9º Andar,Lovato Padrão,Rosana do Sul,PI
Rafaela Uchoa Solano,Isabel Abreu de Freitas,31/10/2015,914.575.109-95,780981939925694,88768-555,Largo Rayane Fonseca,5,Apto 7,das Dores Santana,Santa Breno,GO
Emília Amaral Assunção,Fátima Chaves Paz,10/05/1987,221.287.048-55,732543005932913,95781-839,Travessa Alexandre Reis,70,9º Andar,Matos Queirós,Carol do Leste,SP
Lilian Barros Alves,Rafaela Lovato Urias,06/06/2010,884.134.493-83,936096106710021,77231-020,Travessa Wesley,34086,Bloco B,Aragão Fernandes,São Miguel,SE
Marisa Leon Zambrano,Karen Santana Paes,04/07/2002,631.680.723-62,783188400082997,39362-904,Travessa Fabrício,31,Apto 2,Salazar Perez,Leal do Norte,BA
Heitor Escobar Paes,Jasmin Dias Galindo,05/06/1998,274.908.743-00,835344865017535,09010-783,Av. Tamoio,57,Bc. 7 Ap. 49,Campos Souza,Santa Santiago do Leste,MS
Daniel Vila Fernandes,Bruna Feliciano Beltrão,20/01/2002,051.950.966-86,792620028366671,43805-226,Rua Rivera,97,Anexo,Beltrão Grego,Juliana do Leste,PB
Francisco Faria Santiago,Kelly Marin Vale,14/10/1991,306.642.433-20,902074462294037,66883-394,Largo Caldeira,5153,F,Vila Matos,Porto Mário do Sul,RO
Santiago Soto Colaço,Sophie Queirós da Cruz,20/11/2012,831.323.882-89,812245277752563,92905-719,Travessa Saraiva,8939,Bc. 0 Ap. 06,Aragão Salas,Tomás d'Oeste,RS
Natan Valência Alves,Kamila Uchoa Maia,18/11/2007,217.747.474-48,949716721484149,40621-977,Travessa Cíntia Faria,84,Bc. 71 Ap. 77,Sales Vasques,Tatiane do Sul,PE
Lavínia Lovato da Silva,Maísa Fonseca Serrano,09/06/1984,523.727.405-63,863602001995036,27643-061,Av. Emílio,5,Fundos,Ávila Vasques,Vila Ivan do Sul,DF
Graziela Ávila Marques,Clarice Zaragoça Rodrigues,14/01/1987,736.190.752-04,846932077407299,37452-771,Travessa Stefany Oliveira,9,6º Andar,Sepúlveda Pereira,São Cíntia do Leste,AC
Dante Barreto Duarte,Mirella Feliciano Marin,09/06/1994,433.203.638-75,900782193773409,19650-111,Travessa Madalena,2,Fundos,Perez Marin,Porto Natália,RS
Diogo Godói Sepúlveda,Heloísa Martines Prado,06/09/2005,308.333.095-28,740970597322304,95722-701,R. Graziela Lutero,8918,Bc. 7 Ap. 78,Escobar Galhardo,Sarah do Sul,AC
